id,leccion,pregunta,opciones,respuesta_correcta
100,10,¿Cuál es el objetivo final de un apologeta cristiano?,"[""Ganar todas las discusiones"", ""Representar a Cristo con la mente y el coraz\u00f3n alineados con Dios"", ""Demostrar que tiene raz\u00f3n"", ""Impresionar a su audiencia""]",Representar a Cristo con la mente y el corazón alineados con Dios
99,10,¿Qué nos recuerda la armadura de Dios en Efesios 6?,"[""Que la defensa de la fe es una batalla espiritual"", ""Que los argumentos humanos son suficientes"", ""Que la fe no requiere defensa"", ""Que debemos evitar cualquier confrontaci\u00f3n""]",Que la defensa de la fe es una batalla espiritual
98,10,¿Qué rol juega la vida devocional en la defensa de la fe?,"[""Es un complemento opcional"", ""Es la base que mantiene firme al apologeta"", ""Es necesaria solo en crisis"", ""Es secundaria frente al estudio intelectual""]",Es la base que mantiene firme al apologeta
97,10,¿Cuál es la base de una mente transformada?,"[""La educaci\u00f3n secular"", ""El consenso cultural"", ""La verdad b\u00edblica"", ""Las tradiciones humanas""]",La verdad bíblica
96,10,¿Qué significa depender del Espíritu Santo en apologética?,"[""No prepararse para responder"", ""Evitar cualquier debate"", ""Buscar solo experiencias emocionales"", ""Permitir que \u00c9l gu\u00ede nuestras palabras y acciones""]",Permitir que Él guíe nuestras palabras y acciones
95,10,¿Por qué es fundamental la humildad en un apologeta?,"[""Porque da credibilidad al mensaje"", ""Porque evita estudiar demasiado"", ""Porque impide responder"", ""Porque reemplaza el conocimiento""]",Porque da credibilidad al mensaje
94,10,¿Qué describe Efesios 6:10-18 como herramienta de defensa?,"[""La sabidur\u00eda humana"", ""La armadura de Dios"", ""La persuasi\u00f3n ret\u00f3rica"", ""El conocimiento hist\u00f3rico""]",La armadura de Dios
93,10,¿Qué afirma Jesús en Juan 15:4-5 sobre la dependencia de Él?,"[""Que podemos lograr mucho por nuestra cuenta"", ""Que sin \u00c9l nada podemos hacer"", ""Que solo los l\u00edderes necesitan depender de \u00c9l"", ""Que la oraci\u00f3n es opcional""]",Que sin Él nada podemos hacer
92,10,¿Qué significa “renovación de vuestro entendimiento” según Romanos 12:2?,"[""Transformar la mente mediante la verdad de Dios"", ""Adoptar nuevas filosof\u00edas"", ""Aceptar todo tipo de pensamiento"", ""Cambiar de opini\u00f3n constantemente""]",Transformar la mente mediante la verdad de Dios
91,10,¿Qué enseña Salmo 119:11 sobre la vida espiritual?,"[""Que debemos memorizar todos los Salmos"", ""Que el coraz\u00f3n es m\u00e1s importante que la mente"", ""Guardar la Palabra de Dios en el coraz\u00f3n para no pecar"", ""Que debemos orar solo en momentos dif\u00edciles""]",Guardar la Palabra de Dios en el corazón para no pecar
90,9,¿Cuál es el objetivo final en un diálogo apologético?,"[""Ganar la discusi\u00f3n"", ""Presentar la verdad y dejar que el Esp\u00edritu Santo convenza"", ""Probar que el otro est\u00e1 equivocado"", ""Evitar cualquier oposici\u00f3n""]",Presentar la verdad y dejar que el Espíritu Santo convenza
89,9,¿Por qué es útil usar ilustraciones en apologética?,"[""Hacen la conversaci\u00f3n m\u00e1s larga"", ""Impresionan intelectualmente"", ""Distraen de la verdad"", ""Facilitan la comprensi\u00f3n de ideas complejas""]",Facilitan la comprensión de ideas complejas
88,9,¿Qué hizo Pablo al adaptar su mensaje?,"[""Suaviz\u00f3 el contenido del evangelio"", ""Evit\u00f3 temas controvertidos"", ""Cambi\u00f3 el estilo seg\u00fan su audiencia"", ""Us\u00f3 lenguaje complicado""]",Cambió el estilo según su audiencia
87,9,¿Por qué es importante identificar el trasfondo de una objeción?,"[""Porque muchas son emocionales m\u00e1s que intelectuales"", ""Porque no es necesario responder"", ""Porque as\u00ed se evita el debate"", ""Porque siempre son por falta de informaci\u00f3n""]",Porque muchas son emocionales más que intelectuales
86,9,¿Qué significa responder con “gracia y verdad”?,"[""Decir lo que el otro quiere o\u00edr"", ""No hablar de temas dif\u00edciles"", ""Decir la verdad de manera amorosa"", ""Ignorar los errores del otro""]",Decir la verdad de manera amorosa
85,9,¿Cuál es el propósito de hacer preguntas estratégicas?,"[""Aclarar ideas y exponer supuestos err\u00f3neos"", ""Ganar tiempo"", ""Confundir al interlocutor"", ""Cambiar de tema""]",Aclarar ideas y exponer supuestos erróneos
84,9,¿Qué elemento es esencial para generar confianza en una conversación apologética?,"[""La rapidez en responder"", ""La escucha activa"", ""El uso de tecnicismos"", ""La confrontaci\u00f3n directa""]",La escucha activa
83,9,"Según 1 Corintios 9:22, ¿qué hizo Pablo para ganar a más personas?","[""Evitar a quienes no cre\u00edan"", ""Cambiar el evangelio"", ""Usar solo argumentos filos\u00f3ficos"", ""Se adapt\u00f3 a todos sin comprometer el mensaje""]",Se adaptó a todos sin comprometer el mensaje
82,9,¿Qué actitud recomienda Proverbios 15:1 para evitar conflictos?,"[""Responder con autoridad"", ""Responder con sarcasmo"", ""Responder con suavidad"", ""Responder con l\u00f3gica""]",Responder con suavidad
81,9,¿Qué principio bíblico de comunicación se enseña en Colosenses 4:5-6?,"[""Que nuestra palabra sea siempre con gracia, sazonada con sal"", ""Que debemos responder con dureza"", ""Que es mejor no hablar de la fe"", ""Que la comunicaci\u00f3n no importa""]","Que nuestra palabra sea siempre con gracia, sazonada con sal"
80,8,¿Qué demuestra la comparación de miles de manuscritos bíblicos?,"[""Que el texto fue manipulado"", ""Que el texto se ha transmitido fielmente"", ""Que el texto se perdi\u00f3"", ""Que el texto es una invenci\u00f3n medieval""]",Que el texto se ha transmitido fielmente
79,8,¿Qué implica la existencia de Dios respecto a los milagros?,"[""Que los milagros son posibles"", ""Que los milagros son supersticiones"", ""Que los milagros no ocurren"", ""Que los milagros solo son met\u00e1foras""]",Que los milagros son posibles
78,8,¿Qué argumento refuta la idea de que la moral es independiente de Dios?,"[""La existencia de una ley moral objetiva escrita en el coraz\u00f3n humano"", ""El consenso cultural"", ""La tradici\u00f3n familiar"", ""Las leyes del gobierno""]",La existencia de una ley moral objetiva escrita en el corazón humano
77,8,¿Cómo responde la Biblia al problema del mal?,"[""El mal es una ilusi\u00f3n"", ""Dios no tiene control sobre el mal"", ""El mal existe por el pecado, pero Dios lo redime para un bien mayor"", ""El mal prueba que Dios es d\u00e9bil""]","El mal existe por el pecado, pero Dios lo redime para un bien mayor"
76,8,¿Qué declaración de Jesús afirma su divinidad?,"[""\""Yo soy la luz del mundo\"""", ""\""Antes que Abraham fuese, yo soy\"""", ""\""Bienaventurados los mansos\"""", ""\""Id y haced disc\u00edpulos\""""]","""Antes que Abraham fuese, yo soy"""
75,8,¿Qué revela Romanos 1:20 sobre Dios?,"[""Que su poder y deidad se ven claramente en la creaci\u00f3n"", ""Que no puede conocerse"", ""Que la naturaleza es divina"", ""Que solo se le conoce por tradici\u00f3n""]",Que su poder y deidad se ven claramente en la creación
74,8,¿Qué demuestra Hechos 17:2-3 sobre la fe?,"[""Que la fe es ciega"", ""Que la fe no necesita argumentos"", ""Que la fe es solo emocional"", ""Que la fe cristiana se fundamenta en razonamiento y evidencias""]",Que la fe cristiana se fundamenta en razonamiento y evidencias
73,8,¿Qué enseña Juan 14:6 sobre la salvación?,"[""Que todas las religiones son v\u00e1lidas"", ""Que Jes\u00fas es el \u00fanico camino al Padre"", ""Que cada uno debe buscar su propia verdad"", ""Que la salvaci\u00f3n es autom\u00e1tica""]",Que Jesús es el único camino al Padre
72,8,¿Qué hecho histórico es clave para la fe cristiana?,"[""La creaci\u00f3n del mundo"", ""El diluvio universal"", ""La resurrecci\u00f3n de Jes\u00fas"", ""La conquista de Cana\u00e1n""]",La resurrección de Jesús
71,8,¿Qué hallazgo arqueológico confirma la fidelidad del texto bíblico?,"[""Manuscritos del Mar Muerto"", ""La piedra de Rosetta"", ""El c\u00f3dice de Hammurabi"", ""Inscripciones egipcias""]",Manuscritos del Mar Muerto
70,7,¿Qué característica debe acompañar siempre la presentación de evidencias?,"[""Orgullo y firmeza"", ""Neutralidad emocional"", ""Competencia acad\u00e9mica"", ""Humildad y amor""]",Humildad y amor
69,7,¿Cuál es el objetivo principal de usar argumentos apologéticos?,"[""Demostrar superioridad intelectual"", ""Convencer a todos sin excepci\u00f3n"", ""Llevar a las personas a la verdad del evangelio"", ""Evitar el uso de la Biblia""]",Llevar a las personas a la verdad del evangelio
68,7,¿Qué muestra el Salmo 19:1?,"[""Que la Biblia es un mito"", ""Que la creaci\u00f3n proclama la gloria de Dios"", ""Que la fe es privada"", ""Que Dios se oculta del hombre""]",Que la creación proclama la gloria de Dios
67,7,¿Qué evidencia respalda el argumento histórico?,"[""Experiencias subjetivas"", ""Costumbres culturales"", ""Interpretaciones m\u00edsticas"", ""Testigos presenciales y documentos antiguos""]",Testigos presenciales y documentos antiguos
66,7,¿Qué pasaje bíblico afirma que la ley de Dios está escrita en el corazón humano?,"[""Hebreos 4:12"", ""G\u00e1latas 2:20"", ""Romanos 2:14-15"", ""\u00c9xodo 20:1-17""]",Romanos 2:14-15
65,7,"Según 1 Corintios 15, ¿qué hecho histórico es central para la fe cristiana?","[""La resurrecci\u00f3n de Jes\u00fas"", ""La creaci\u00f3n del mundo"", ""El diluvio universal"", ""La ca\u00edda de Jerusal\u00e9n""]",La resurrección de Jesús
64,7,¿Qué tipo de argumento utiliza el cumplimiento de profecías bíblicas?,"[""Argumento cosmol\u00f3gico"", ""Argumento prof\u00e9tico"", ""Argumento moral"", ""Argumento subjetivo""]",Argumento profético
63,7,¿Qué muestra el argumento moral?,"[""Que todas las leyes son relativas"", ""Que la moralidad surge de la evoluci\u00f3n"", ""Que existe una ley moral objetiva dada por Dios"", ""Que la moral depende del gobierno""]",Que existe una ley moral objetiva dada por Dios
62,7,¿Cuál es la idea central del argumento cosmológico?,"[""La moralidad depende de la cultura"", ""El universo siempre ha existido"", ""La fe no requiere evidencias"", ""Todo lo que comienza a existir tiene una causa""]",Todo lo que comienza a existir tiene una causa
61,7,¿Qué enseña Romanos 1:20 sobre la evidencia de Dios?,"[""Que la creaci\u00f3n revela claramente su poder y deidad"", ""Que solo se le puede conocer por fe"", ""Que es imposible conocerlo"", ""Que la naturaleza es divina en s\u00ed misma""]",Que la creación revela claramente su poder y deidad
60,6,¿Qué diferencia a un apologeta bíblico de un simple polemista?,"[""Su conocimiento filos\u00f3fico"", ""Su capacidad oratoria"", ""Su n\u00famero de seguidores"", ""Su dependencia del Esp\u00edritu Santo""]",Su dependencia del Espíritu Santo
